prop,model,target,n_target,method,k,coverage,width_sd,cov_source_test,rmse_std_source,rmse_std_target,n_train
clay.tot,cnn,KSSL.SSL,50007,C0,0,0.7955221490481813,2.4801005785159527,0.9080996884735203,0.5523555147669831,0.9634758686188799,3854
clay.tot,cnn,KSSL.SSL,50007,C0n,0,0.9319414696639109,3.370728669056871,0.9080996884735203,0.5523555147669831,0.9634758686188799,3854
clay.tot,cnn,KSSL.SSL,50007,C2,25,0.9170526652921513,3.1395163185108577,0.9080996884735203,0.5523555147669831,0.9634758686188799,3854
clay.tot,cnn,KSSL.SSL,50007,C3n,25,0.930888564165182,3.5528617622538983,0.9080996884735203,0.5523555147669831,0.9634758686188799,3854
clay.tot,cnn,KSSL.SSL,50007,C2,50,0.89551614388374,3.18577663049823,0.9080996884735203,0.5523555147669831,0.9634758686188799,3854
clay.tot,cnn,KSSL.SSL,50007,C3n,50,0.8967071681646216,2.890903221325824,0.9080996884735203,0.5523555147669831,0.9634758686188799,3854
clay.tot,cnn,ICRAF.ISRIC,3738,C0,0,0.5454989154013015,0.7562803043577377,0.883,0.4094990727642736,0.6372160582310058,8000
clay.tot,cnn,ICRAF.ISRIC,3738,C0n,0,0.8975054229934925,2.1017908750910967,0.883,0.4094990727642736,0.6372160582310058,8000
clay.tot,cnn,ICRAF.ISRIC,3738,C2,25,0.9013557483731021,2.473690190162749,0.883,0.4094990727642736,0.6372160582310058,8000
clay.tot,cnn,ICRAF.ISRIC,3738,C3n,25,0.9404555314533622,2.9697381671747767,0.883,0.4094990727642736,0.6372160582310058,8000
clay.tot,cnn,ICRAF.ISRIC,3738,C2,50,0.9030368763557484,2.215319073907312,0.883,0.4094990727642736,0.6372160582310058,8000
clay.tot,cnn,ICRAF.ISRIC,3738,C3n,50,0.8897505422993494,1.8711266975790228,0.883,0.4094990727642736,0.6372160582310058,8000
clay.tot,cnn,AFSIS1.SSL,1896,C0,0,0.4243770314192849,0.9264475615047308,0.9235,0.40374566060775896,0.8149142977723657,8000
clay.tot,cnn,AFSIS1.SSL,1896,C0n,0,0.4059046587215602,0.9510380408891428,0.9235,0.40374566060775896,0.8149142977723657,8000
clay.tot,cnn,AFSIS1.SSL,1896,C2,25,0.901029252437703,2.8815242274767825,0.9235,0.40374566060775896,0.8149142977723657,8000
clay.tot,cnn,AFSIS1.SSL,1896,C3n,25,0.9393282773564463,3.068178311324467,0.9235,0.40374566060775896,0.8149142977723657,8000
clay.tot,cnn,AFSIS1.SSL,1896,C2,50,0.9036836403033586,2.824837062818802,0.9235,0.40374566060775896,0.8149142977723657,8000
clay.tot,cnn,AFSIS1.SSL,1896,C3n,50,0.9092091007583966,2.4498529161610243,0.9235,0.40374566060775896,0.8149142977723657,8000
clay.tot,cnn,CAF.SSL,511,C0,0,0.42364425162689806,0.9550813915016877,0.9055,0.40338026414378797,0.9812420970847273,8000
clay.tot,cnn,CAF.SSL,511,C0n,0,0.6234273318872017,2.030846218241831,0.9055,0.40338026414378797,0.9812420970847273,8000
clay.tot,cnn,CAF.SSL,511,C2,25,0.9234273318872017,3.623057573270022,0.9055,0.40338026414378797,0.9812420970847273,8000
clay.tot,cnn,CAF.SSL,511,C3n,25,0.9167028199566161,3.5486651710586825,0.9055,0.40338026414378797,0.9812420970847273,8000
clay.tot,cnn,CAF.SSL,511,C2,50,0.9101952277657265,3.3968481085425704,0.9055,0.40338026414378797,0.9812420970847273,8000
clay.tot,cnn,CAF.SSL,511,C3n,50,0.8932754880694143,3.1852632909055103,0.9055,0.40338026414378797,0.9812420970847273,8000
clay.tot,cnn,GARRETT.SSL,142,C0,0,0.32282608695652176,0.7201686464809324,0.909,0.360419108703708,1.5577823007860623,8000
clay.tot,cnn,GARRETT.SSL,142,C0n,0,0.3597826086956522,0.7208442115739083,0.909,0.360419108703708,1.5577823007860623,8000
clay.tot,cnn,GARRETT.SSL,142,C2,25,0.9369565217391305,6.6192020191173775,0.909,0.360419108703708,1.5577823007860623,8000
clay.tot,cnn,GARRETT.SSL,142,C3n,25,0.9217391304347826,5.821082454695432,0.909,0.360419108703708,1.5577823007860623,8000
clay.tot,cnn,GARRETT.SSL,142,C2,50,0.906521739130435,6.207124107864283,0.909,0.360419108703708,1.5577823007860623,8000
clay.tot,cnn,GARRETT.SSL,142,C3n,50,0.9032608695652173,5.234031089386711,0.909,0.360419108703708,1.5577823007860623,8000
clay.tot,cnn,SERBIA.SSL,135,C0,0,0.9047058823529411,1.542554337009325,0.9085,0.4344011838003744,0.5107564661809055,8000
clay.tot,cnn,SERBIA.SSL,135,C0n,0,0.8694117647058824,1.6797983923876905,0.9085,0.4344011838003744,0.5107564661809055,8000
clay.tot,cnn,SERBIA.SSL,135,C2,25,0.9447058823529412,1.9134528840185823,0.9085,0.4344011838003744,0.5107564661809055,8000
clay.tot,cnn,SERBIA.SSL,135,C3n,25,0.9235294117647058,2.897728109135923,0.9085,0.4344011838003744,0.5107564661809055,8000
clay.tot,cnn,SERBIA.SSL,135,C2,50,0.9200000000000002,1.6914556564905694,0.9085,0.4344011838003744,0.5107564661809055,8000
clay.tot,cnn,SERBIA.SSL,135,C3n,50,0.9070588235294117,2.6222836464293406,0.9085,0.4344011838003744,0.5107564661809055,8000
oc,cnn,KSSL.SSL,20081,C0,0,0.35543906944236436,0.28002038632703646,0.8852173913043478,0.3137980387247204,0.3773247633058057,3451
oc,cnn,KSSL.SSL,20081,C0n,0,0.7518496330687435,0.5250208004680088,0.8852173913043478,0.3137980387247204,0.3773247633058057,3451
oc,cnn,KSSL.SSL,20081,C2,25,0.9165842943437671,1.3640859487890635,0.8852173913043478,0.3137980387247204,0.3773247633058057,3451
oc,cnn,KSSL.SSL,20081,C3n,25,0.9337576756028156,0.570466205023513,0.8852173913043478,0.3137980387247204,0.3773247633058057,3451
oc,cnn,KSSL.SSL,20081,C2,50,0.8900653986321201,1.2966743579236808,0.8852173913043478,0.3137980387247204,0.3773247633058057,3451
oc,cnn,KSSL.SSL,20081,C3n,50,0.9075732614447606,0.5095793937173287,0.8852173913043478,0.3137980387247204,0.3773247633058057,3451
oc,cnn,ICRAF.ISRIC,3698,C0,0,0.659375,0.7990268257846723,0.893,0.12601221895949719,0.5729386492746187,8000
oc,cnn,ICRAF.ISRIC,3698,C0n,0,0.709265350877193,0.8839076799768608,0.893,0.12601221895949719,0.5729386492746187,8000
oc,cnn,ICRAF.ISRIC,3698,C2,25,0.9002741228070175,1.7757522107322674,0.893,0.12601221895949719,0.5729386492746187,8000
oc,cnn,ICRAF.ISRIC,3698,C3n,25,0.9299616228070177,1.5376111900350702,0.893,0.12601221895949719,0.5729386492746187,8000
oc,cnn,ICRAF.ISRIC,3698,C2,50,0.8907072368421052,1.5672269844478177,0.893,0.12601221895949719,0.5729386492746187,8000
oc,cnn,ICRAF.ISRIC,3698,C3n,50,0.8979714912280702,1.363811892811642,0.893,0.12601221895949719,0.5729386492746187,8000
