prop,target,n_target,alpha,method,coverage,width_sd
clay.tot,AFSIS1.SSL,1896,0.2,C3n_k25,0.7979144095341277,1.4854730956995619
clay.tot,AFSIS1.SSL,1896,0.2,C2_k50,0.7952600216684724,2.2911385742358954
clay.tot,AFSIS1.SSL,1896,0.2,C4t_k50,0.7960455037919828,2.328465303436146
clay.tot,AFSIS1.SSL,1896,0.2,C3n_k50,0.8233748645720477,1.6323870773634663
clay.tot,AFSIS1.SSL,1896,0.1,C0,0.2744582881906826,0.7486001683702701
clay.tot,AFSIS1.SSL,1896,0.1,C0n,0.2992686890574215,0.8480418109825327
clay.tot,AFSIS1.SSL,1896,0.1,C4,0.3321776814734561,1.1977723013096657
clay.tot,AFSIS1.SSL,1896,0.1,C2_k25,0.9419014084507042,3.144236036639641
clay.tot,AFSIS1.SSL,1896,0.1,C4t_k25,0.9344257854821236,3.30541094646719
clay.tot,AFSIS1.SSL,1896,0.1,C3n_k25,0.9284398699891658,2.8221763371962285
clay.tot,AFSIS1.SSL,1896,0.1,C2_k50,0.9201516793066089,3.0221308768209623
clay.tot,AFSIS1.SSL,1896,0.1,C4t_k50,0.9247833152762732,3.220665901312005
clay.tot,AFSIS1.SSL,1896,0.1,C3n_k50,0.9133531960996752,2.3163950843980983
clay.tot,AFSIS1.SSL,1896,0.05,C0,0.39834777898158175,1.0322176477107687
clay.tot,AFSIS1.SSL,1896,0.05,C0n,0.36909534127843985,1.0445271034477916
clay.tot,AFSIS1.SSL,1896,0.05,C4,0.4694474539544961,1.627813676611297
clay.tot,AFSIS1.SSL,1896,0.05,C2_k25,0.9630010834236188,3.3819461553087304
clay.tot,AFSIS1.SSL,1896,0.05,C4t_k25,0.961430119176598,3.913318273138895
clay.tot,AFSIS1.SSL,1896,0.05,C3n_k25,0.9651137594799566,3.6697724931053157
clay.tot,AFSIS1.SSL,1896,0.05,C2_k50,0.9599133261105092,3.3897674410284413
clay.tot,AFSIS1.SSL,1896,0.05,C4t_k50,0.9689328277356448,3.861675504380805
clay.tot,AFSIS1.SSL,1896,0.05,C3n_k50,0.9673618634886241,3.3629445067704293
clay.tot,CAF.SSL,511,0.2,C0,0.32321041214750545,0.5801500053681862
clay.tot,CAF.SSL,511,0.2,C0n,0.48329718004338396,1.0087732820062991
clay.tot,CAF.SSL,511,0.2,C4,0.6592190889370934,1.713416476536068
clay.tot,CAF.SSL,511,0.2,C2_k25,0.7725596529284164,2.1592257019334005
clay.tot,CAF.SSL,511,0.2,C4t_k25,0.7840563991323211,2.362951495208294
clay.tot,CAF.SSL,511,0.2,C3n_k25,0.7667028199566162,2.0078751861090396
clay.tot,CAF.SSL,511,0.2,C2_k50,0.7764642082429501,2.102790204754567
clay.tot,CAF.SSL,511,0.2,C4t_k50,0.7904555314533622,2.334054720610486
clay.tot,CAF.SSL,511,0.2,C3n_k50,0.7708242950108459,1.9610387125562998
clay.tot,CAF.SSL,511,0.1,C0,0.47223427331887213,0.8790782074680853
clay.tot,CAF.SSL,511,0.1,C0n,0.5673535791757051,1.3577866480394833
clay.tot,CAF.SSL,511,0.1,C4,0.7517353579175705,2.3351204959802248
clay.tot,CAF.SSL,511,0.1,C2_k25,0.8957700650759218,2.9698599309568694
clay.tot,CAF.SSL,511,0.1,C4t_k25,0.922125813449024,3.0213636500024124
clay.tot,CAF.SSL,511,0.1,C3n_k25,0.9063991323210413,2.967774054280979
clay.tot,CAF.SSL,511,0.1,C2_k50,0.8878524945770063,2.8465932605897604
clay.tot,CAF.SSL,511,0.1,C4t_k50,0.9090021691973972,2.9421637761672144
clay.tot,CAF.SSL,511,0.1,C3n_k50,0.8762472885032538,2.5505930200188267
clay.tot,CAF.SSL,511,0.05,C0,0.5748373101952279,1.236134978509611
clay.tot,CAF.SSL,511,0.05,C0n,0.6537960954446854,1.6722117435219934
clay.tot,CAF.SSL,511,0.05,C4,0.8308026030368764,2.806238310601101
clay.tot,CAF.SSL,511,0.05,C2_k25,0.9451193058568329,3.856721413728147
clay.tot,CAF.SSL,511,0.05,C4t_k25,0.9778741865509761,3.3596372448813696
clay.tot,CAF.SSL,511,0.05,C3n_k25,0.9715835140997833,4.688782596951867
clay.tot,CAF.SSL,511,0.05,C2_k50,0.9500000000000002,3.6752225862728296
clay.tot,CAF.SSL,511,0.05,C4t_k50,0.9626898047722344,3.2607852550580816
clay.tot,CAF.SSL,511,0.05,C3n_k50,0.963774403470716,3.5230577275692108
clay.tot,GARRETT.SSL,142,0.2,C0,0.19021739130434784,0.4574036026539148
clay.tot,GARRETT.SSL,142,0.2,C0n,0.24239130434782602,0.44157598742061915
clay.tot,GARRETT.SSL,142,0.2,C4,0.3456521739130435,0.7774519754924183
clay.tot,GARRETT.SSL,142,0.2,C2_k25,0.8402173913043478,5.45955747831573
clay.tot,GARRETT.SSL,142,0.2,C4t_k25,0.8418478260869566,5.256955753779848
clay.tot,GARRETT.SSL,142,0.2,C3n_k25,0.8472826086956522,3.504659133367909
clay.tot,GARRETT.SSL,142,0.2,C2_k50,0.8081521739130434,4.278487988284338
clay.tot,GARRETT.SSL,142,0.2,C4t_k50,0.8000000000000002,3.7891040008754273
clay.tot,GARRETT.SSL,142,0.2,C3n_k50,0.8434782608695652,3.4023484394755754
clay.tot,GARRETT.SSL,142,0.1,C0,0.25923913043478264,0.7097638232122225
clay.tot,GARRETT.SSL,142,0.1,C0n,0.29347826086956524,0.5714558196287085
clay.tot,GARRETT.SSL,142,0.1,C4,0.4766304347826087,0.9871361397438438
clay.tot,GARRETT.SSL,142,0.1,C2_k25,0.9141304347826086,6.57921200666077
clay.tot,GARRETT.SSL,142,0.1,C4t_k25,0.9081521739130436,6.397828923628111
clay.tot,GARRETT.SSL,142,0.1,C3n_k25,0.9141304347826086,4.884374746936178
clay.tot,GARRETT.SSL,142,0.1,C2_k50,0.8956521739130434,6.399799718733805
clay.tot,GARRETT.SSL,142,0.1,C4t_k50,0.888586956521739,6.141832057343043
clay.tot,GARRETT.SSL,142,0.1,C3n_k50,0.9092391304347827,4.022809931217205
clay.tot,GARRETT.SSL,142,0.05,C0,0.3478260869565218,0.9706898290331908
clay.tot,GARRETT.SSL,142,0.05,C0n,0.358695652173913,0.713196444143848
clay.tot,GARRETT.SSL,142,0.05,C4,0.6108695652173913,1.3103024756599404
