method,k,cells,coverage,ci_low,ci_high,worst,width
C0,0,21,0.845,0.659,0.898,0.323,1.467
C0n,0,21,0.853,0.757,0.886,0.36,1.52
C2,25,21,0.917,0.901,0.927,0.863,2.012
C2,50,21,0.899,0.89,0.907,0.847,1.835
C3n,25,21,0.93,0.922,0.933,0.856,2.014
C3n,50,21,0.898,0.893,0.904,0.861,1.741
