method,hucre,kapsama,ga_alt,ga_ust,kapsama_sonlu,sonlu_ga_alt,sonlu_ga_ust,genislik,sonsuz_oran
C0,42,0.757,0.627,0.81,0.757,0.627,0.815,1.405,0.0
C0w,42,0.822,0.768,0.87,0.822,0.768,0.872,1.643,0.0
C1,42,0.852,0.802,0.898,0.84,0.762,0.88,1.643,0.116
C1c,42,0.801,0.743,0.838,0.801,0.745,0.838,1.689,0.0
C2,42,0.924,0.92,0.926,0.924,0.92,0.926,2.824,0.0
C3n,42,0.921,0.918,0.924,0.921,0.918,0.924,2.327,0.0
