seed,prop,model,target,n_target,method,coverage,coverage_finite,width_sd,frac_inf,auc,ess_c1,ess_c1c,n_cal_source
42,clay.tot,plsr,KSSL.SSL,50007,C0,0.6054279540634628,0.6054279540634628,2.3802580878677984,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,plsr,KSSL.SSL,50007,C0w,0.7548897603137129,0.7548897603137129,2.9453949833720774,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,plsr,KSSL.SSL,50007,C1,0.7548097315033412,0.7548097315033412,2.9453949833720774,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,plsr,KSSL.SSL,50007,C1c,0.7005762074346765,0.7005762074346765,2.7179788304962393,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,plsr,KSSL.SSL,50007,C2,0.9330619022848226,0.9330619022848226,4.801032499590091,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,plsr,KSSL.SSL,50007,C3n,0.9242487295426353,0.9242487295426353,3.79395897124692,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,hgb,KSSL.SSL,50007,C0,0.7559781521347686,0.7559781521347686,2.2525954634700445,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,hgb,KSSL.SSL,50007,C0w,0.8550038013684926,0.8550038013684926,2.8102827339169867,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,hgb,KSSL.SSL,50007,C1,0.8548437437477491,0.8548437437477491,2.8102827339169867,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,hgb,KSSL.SSL,50007,C1c,0.8163198751550558,0.8163198751550558,2.571795415149087,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,hgb,KSSL.SSL,50007,C2,0.91817654355568,0.91817654355568,3.581771750969744,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,hgb,KSSL.SSL,50007,C3n,0.8998539474210716,0.8998539474210716,3.038618075575066,0.0,0.9665695945869759,187.31890869140625,360.77484130859375,1284
42,clay.tot,plsr,ICRAF.ISRIC,3738,C0,0.365903582009157,0.365903582009157,0.8743112483737152,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,plsr,ICRAF.ISRIC,3738,C0w,0.8821438190142743,0.8821438190142743,2.1335675037138535,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,plsr,ICRAF.ISRIC,3738,C1,0.8881228117425263,0.8881228117425263,2.1335675037138535,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,plsr,ICRAF.ISRIC,3738,C1c,0.7788580662537032,0.7788580662537032,1.7372700988605914,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,plsr,ICRAF.ISRIC,3738,C2,0.9105305682736333,0.9105305682736333,2.4088906958629286,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,plsr,ICRAF.ISRIC,3738,C3n,0.9307029356315647,0.9307029356315647,2.333751673697588,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,hgb,ICRAF.ISRIC,3738,C0,0.3885537301373553,0.3885537301373553,0.7991226922589298,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,hgb,ICRAF.ISRIC,3738,C0w,0.7497441422030703,0.7497441422030703,1.5817839821896418,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,hgb,ICRAF.ISRIC,3738,C1,0.745219499057366,0.745219499057366,1.5817839821896418,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,hgb,ICRAF.ISRIC,3738,C1c,0.7001885267977377,0.7001885267977377,1.4588814755748005,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,hgb,ICRAF.ISRIC,3738,C2,0.9341502827901966,0.9341502827901966,2.5553204025446465,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,hgb,ICRAF.ISRIC,3738,C3n,0.9334769727982763,0.9334769727982763,2.2967173049495777,0.0,0.9848998797797792,85.84718322753906,290.6990966796875,10538
42,clay.tot,plsr,AFSIS1.SSL,1896,C0,0.33971138428647785,0.33971138428647785,0.8276825907950972,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,plsr,AFSIS1.SSL,1896,C0w,0.5972741849278462,0.5972741849278462,1.4726837736211635,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,plsr,AFSIS1.SSL,1896,C1,0.5993586317477284,0.5993586317477284,1.4726837736211635,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,plsr,AFSIS1.SSL,1896,C1c,0.5188669160876537,0.5188669160876537,1.259726768732929,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,plsr,AFSIS1.SSL,1896,C2,0.9152324959914484,0.9152324959914484,2.7711047125509163,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,plsr,AFSIS1.SSL,1896,C3n,0.9017103153393908,0.9017103153393908,2.1723006531082154,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,hgb,AFSIS1.SSL,1896,C0,0.2869588455371459,0.2869588455371459,0.751465608556726,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,hgb,AFSIS1.SSL,1896,C0w,0.4374665954035275,0.4374665954035275,1.1042941591503206,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,hgb,AFSIS1.SSL,1896,C1,0.4501870657402459,0.4501870657402459,1.1042941591503206,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,hgb,AFSIS1.SSL,1896,C1c,0.41838588989845,0.41838588989845,1.051410272145428,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,hgb,AFSIS1.SSL,1896,C2,0.937840726884019,0.937840726884019,3.093518810771655,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,hgb,AFSIS1.SSL,1896,C3n,0.9002137894174236,0.9002137894174236,2.5367801064344526,0.0,0.9566600392614757,88.89151763916016,325.57489013671875,10906
42,clay.tot,plsr,CAF.SSL,511,C0,0.5160493827160495,0.5160493827160495,1.0241089563861305,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,plsr,CAF.SSL,511,C0w,0.6956790123456791,0.6956790123456791,1.6679018962462568,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,plsr,CAF.SSL,511,C1,0.7386831275720165,0.6883434956961112,1.6679018962462568,0.16152263374485595,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,plsr,CAF.SSL,511,C1c,0.6380658436213992,0.6380658436213992,1.3471154120619928,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,plsr,CAF.SSL,511,C2,0.9104938271604939,0.9104938271604939,3.0605773817011666,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,plsr,CAF.SSL,511,C3n,0.8835390946502057,0.8835390946502057,3.0727101718657748,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,hgb,CAF.SSL,511,C0,0.4541152263374485,0.4541152263374485,0.8883313048589146,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,hgb,CAF.SSL,511,C0w,0.5670781893004115,0.5670781893004115,1.1610855554072248,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,hgb,CAF.SSL,511,C1,0.6479423868312757,0.5789897833092212,1.1610855554072248,0.16378600823045267,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,hgb,CAF.SSL,511,C1c,0.573045267489712,0.573045267489712,1.1610855554072248,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,hgb,CAF.SSL,511,C2,0.9372427983539093,0.9372427983539093,3.0165829161007434,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,hgb,CAF.SSL,511,C3n,0.9413580246913581,0.9413580246913581,3.154435211549469,0.0,0.9938122461179106,17.724180221557617,265.5679931640625,11183
42,clay.tot,plsr,GARRETT.SSL,142,C0,0.2897435897435897,0.2897435897435897,0.8054783751861636,0.0,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,plsr,GARRETT.SSL,142,C0w,0.3179487179487179,0.3179487179487179,0.9010909338153017,0.0,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,plsr,GARRETT.SSL,142,C1,0.3401709401709402,0.3234172387490465,0.9010909338153017,0.024786324786324785,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,plsr,GARRETT.SSL,142,C1c,0.3051282051282051,0.3051282051282051,0.8316308509306362,0.0,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,plsr,GARRETT.SSL,142,C2,0.9367521367521368,0.9367521367521368,6.707923259841489,0.0,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,plsr,GARRETT.SSL,142,C3n,0.9222222222222222,0.9222222222222222,3.9719471091026106,0.0,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,hgb,GARRETT.SSL,142,C0,0.29401709401709397,0.29401709401709397,0.7126613432121905,0.0,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,hgb,GARRETT.SSL,142,C0w,0.3367521367521368,0.3367521367521368,0.916620004106312,0.0,0.9802245113212811,293.22802734375,2426.551025390625,11257
42,clay.tot,hgb,GARRETT.SSL,142,C1,0.35128205128205126,0.33830163865435703,0.916620004106312,0.019658119658119658,0.9802245113212811,293.22802734375,2426.551025390625,11257
